datasetID,row,col,field,cellID,sampleID,siRNA,notes,positiveControl,negativeControl,BOOLEAN_arrayFoundNorm_Method,INTENSITY_Cell_mask_ch01_SumPixelsNorm_Method,SECONDARY_ch01_FLINNorm_Method,SHAPE_Array_mask_AreaNorm_Method,SECONDARY_array_np_mask_ch01_meanRatioNorm_Method,BOOLEAN_arrayFound_Norm,INTENSITY_Cell_mask_ch01_SumPixels_Norm,SECONDARY_ch01_FLIN_Norm,SHAPE_Array_mask_Area_Norm,SECONDARY_array_np_mask_ch01_meanRatio_Norm
1038,A,16,1,24,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-3.41278724573752,2.83156371301819,0.67832516815528,2.65632622840068
1038,A,16,1,25,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,4.69039081727392,5.46021972097482,0.955668028632539,-1.62024691804896
1038,A,16,1,29,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-3.11601092414387,1.5174672067068,-2.92713201804909,-11.3020516548299
1038,A,16,1,32,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-2.19731053628581,1.2864325351136,-0.431046273753757,2.93966769276342
1038,A,16,1,33,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-5.65169515727746,-0.540662801108119,-2.92713201804909,-7.6912412846123
1038,A,16,1,35,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-2.40700625239528,-1.34847390985006,-1.81776057614005,10.5325016175219
1038,A,16,1,37,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-4.83156907847689,1.88415951111925,-9.86070352998057,-17.5026119758249
1038,A,16,1,38,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-5.83379193955204,3.35058148226863,0.123639447200762,-8.74368446118119
1038,A,16,1,39,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,9.81779986674786,1.7335702787832,3.45175377292787,13.0603827042455
1038,A,16,1,42,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-0.565181220110204,5.39181216039788,-7.6419606461625,-12.8599813837231
1038,A,16,1,44,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,0.885202445264553,4.56941669863954,-9.30601780902605,-9.00797210871573
